[06:47:09]	✅ SERVER  ON

[06:47:21]		NEW CLIENT

[07:22:10]			4	Louise	WHOIS lleciak 

[07:23:01]			4	Louise	PING server 

[07:24:02]			4	Louise	PING server 

[07:25:03]			4	Louise	PING server 

[07:26:04]			4	Louise	PING server 

[07:26:51]			4	Louise	NICK changement 

[07:26:51]			4	changement	MODE changement +i 

[07:26:51]			4	changement	WHOIS lleciak 

[07:26:56]			4	changement	NICK loulou 

[07:26:56]			4	loulou	MODE loulou +i 

[07:26:56]			4	loulou	WHOIS lleciak 

[07:26:58]			4	loulou	QUIT :leaving 

[11:04:31]	✖️ SERVER  OFF

[13:55:30]	✅ SERVER  ON

[13:55:45]		NEW CLIENT

[13:55:45]			4	default	CAP LS 

[13:55:45]			4	default	PASS mdp 

[13:55:45]			4	default	NICK lleciak 

[13:55:45]			4	lleciak	USER lleciak lleciak localhost :Louise Leciak 

[13:55:45]			4	lleciak	MODE lleciak +i 

[13:55:48]			4	lleciak	PING server 

[13:55:56]			4	lleciak	NICK lolioli 

[13:55:56]			4	lolioli	MODE lolioli +i 

[13:55:56]			4	lolioli	WHOIS lleciak 

[13:56:10]			4	lolioli	JOIN #pouer 

[13:56:13]			4	lolioli	PRIVMSG #pouer :coucou 

[13:56:16]			4	lolioli	PRIVMSG #pouer :je suis dans pouer 

[13:56:49]			4	lolioli	PING server 

[13:57:22]			4	lolioli	QUIT :leaving 

[14:06:02]	✖️ SERVER  OFF

[14:06:28]	✅ SERVER  ON

[14:06:37]		NEW CLIENT

[14:06:37]			4	default	CAP LS 

[14:06:37]			4	default	NICK lleciak 

[14:06:37]			4	lleciak	USER lleciak lleciak localhost :Louise Leciak 

[14:06:37]			4	lleciak	MODE lleciak +i 

[14:06:40]			4	lleciak	PING server 

[14:06:41]			4	lleciak	WHOIS lleciak 

[14:06:44]			4	lleciak	WHOIS lleciak 

[14:06:45]			4	lleciak	WHOIS lleciak 

[14:06:46]			4	lleciak	WHOIS lleciak 

[14:06:51]			4	lleciak	WHOIS lleciak 

[14:06:56]			4	lleciak	WHOIS lleciak 

[14:06:57]			4	lleciak	WHOIS lleciak 

[14:07:08]			4	lleciak	WHOIS lleciak 

[14:07:10]			4	lleciak	WHOIS lleciak 

[14:07:41]			4	lleciak	PING server 

[14:08:42]			4	lleciak	PING server 

[14:09:43]			4	lleciak	PING server 

[14:09:53]		REMOVED CLIENT

[14:09:53]	✖️ SERVER  OFF

[14:10:00]	✅ SERVER  ON

[14:10:06]		NEW CLIENT

[14:10:06]			4	default	CAP LS 

[14:10:06]			4	default	NICK lleciak 

[14:10:06]			4	lleciak	USER lleciak lleciak localhost :Louise Leciak 

[14:10:06]			4	lleciak	MODE lleciak +i 

[14:10:09]			4	lleciak	PING server 

[14:10:09]			4	lleciak	WHOIS lleciak 

[14:10:11]			4	lleciak	WHOIS lleciak 

[14:10:12]			4	lleciak	WHOIS lleciak 

[14:10:12]			4	lleciak	WHOIS lleciak 

[14:10:15]			4	lleciak	WHOIS lleciak 

[14:10:17]			4	lleciak	WHOIS lleciak 

[14:10:20]			4	lleciak	WHOIS lleciak 

[14:10:22]			4	lleciak	WHOIS lleciak 

[14:10:25]			4	lleciak	WHOIS lleciak 

[14:10:27]			4	lleciak	WHOIS lleciak 

[14:10:30]			4	lleciak	WHOIS lleciak 

[14:10:32]			4	lleciak	WHOIS lleciak 

[14:10:35]			4	lleciak	WHOIS lleciak 

[14:10:37]			4	lleciak	WHOIS lleciak 

[14:10:40]			4	lleciak	WHOIS lleciak 

[14:10:42]			4	lleciak	WHOIS lleciak 

[14:10:45]			4	lleciak	WHOIS lleciak 

[14:10:47]			4	lleciak	WHOIS lleciak 

[14:10:50]			4	lleciak	WHOIS lleciak 

[14:10:52]			4	lleciak	WHOIS lleciak 

[14:10:55]			4	lleciak	WHOIS lleciak 

[14:10:57]			4	lleciak	WHOIS lleciak 

[14:11:00]			4	lleciak	WHOIS lleciak 

[14:11:10]			4	lleciak	PING server 

[14:11:37]		NEW CLIENT

[14:11:37]			5	default	CAP LS 

[14:11:37]			5	default	NICK lleciak 

[14:11:37]			5	lleciak_	USER lleciak lleciak localhost :Louise Leciak 

[14:11:37]			5	lleciak_	MODE lleciak_ +i 

[14:11:37]			5	lleciak_	WHOIS lleciak 

[14:11:41]			5	lleciak_	PING server 

[14:12:11]			4	lleciak	PING server 

[14:12:42]			5	lleciak_	PING server 

[14:13:12]			4	lleciak	PING server 

[14:13:43]			5	lleciak_	PING server 

[14:14:13]			4	lleciak	PING server 

[14:14:44]			5	lleciak_	PING server 

[14:15:14]			4	lleciak	PING server 

[14:15:45]			5	lleciak_	PING server 

[14:16:15]			4	lleciak	PING server 

[14:16:46]			5	lleciak_	PING server 

[14:17:16]			4	lleciak	PING server 

[14:17:22]			5	lleciak_	WHOIS lleciak 

[14:17:23]			5	lleciak_	WHOIS lleciak 

[14:17:24]			5	lleciak_	WHOIS lleciak 

[14:17:26]			5	lleciak_	WHOIS lleciak 

[14:17:27]			5	lleciak_	WHOIS lleciak 

[14:17:29]			5	lleciak_	WHOIS lleciak 

[14:17:31]			5	lleciak_	WHOIS lleciak 

[14:17:34]			5	lleciak_	WHOIS lleciak 

[14:17:43]			5	lleciak_	NICK hello 

[14:17:43]			5	hello	MODE hello +i 

[14:17:43]			5	hello	WHOIS lleciak 

[14:17:47]			5	hello	PING server 

[14:17:49]			5	hello	WHOIS lleciak 

[14:18:17]			4	lleciak	PING server 

[14:18:48]			5	hello	PING server 

[14:19:18]			4	lleciak	PING server 

